time,x,y,z,qx,qy,qz,qw,type
9.7,4.7,0.0,0.0,0.0,0.0,0.0,1.0,S
9.8,4.8,0.0,0.0,0.0,0.0,0.0,1.0,S
9.9,4.9,0.0,0.0,0.0,0.0,0.0,1.0,S
10.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,S
10.1,5.1,0.0,0.0,0.0,0.0,0.0,1.0,S
10.2,5.2,0.0,0.0,0.0,0.0,0.0,1.0,S
10.3,5.3,0.0,0.0,0.0,0.0,0.0,1.0,S
10.4,5.4,0.0,0.0,0.0,0.0,0.0,1.0,S
10.5,5.5,0.0,0.0,0.0,0.0,0.0,1.0,S
10.6,5.6,0.0,0.0,0.0,0.0,0.0,1.0,S
10.7,5.7,0.0,0.0,0.0,0.0,0.0,1.0,S
10.8,5.8,0.0,0.0,0.0,0.0,0.0,1.0,S
10.9,5.9,0.0,0.0,0.0,0.0,0.0,1.0,S
11.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,S
11.1,6.1,0.0,0.0,0.0,0.0,0.0,1.0,S
11.2,6.2,0.0,0.0,0.0,0.0,0.0,1.0,S
11.3,6.3,0.0,0.0,0.0,0.0,0.0,1.0,S
11.4,6.4,0.0,0.0,0.0,0.0,0.0,1.0,S
11.5,6.5,0.0,0.0,0.0,0.0,0.0,1.0,S
11.6,6.6,0.0,0.0,0.0,0.0,0.0,1.0,S
11.7,6.7,0.0,0.0,0.0,0.0,0.0,1.0,S
11.8,6.8,0.0,0.0,0.0,0.0,0.0,1.0,S
11.9,6.9,0.0,0.0,0.0,0.0,0.0,1.0,S
12.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,S
12.1,7.1,0.0,0.0,0.0,0.0,0.0,1.0,S
12.2,7.2,0.0,0.0,0.0,0.0,0.0,1.0,S
12.3,7.3,0.0,0.0,0.0,0.0,0.0,1.0,S
12.4,7.4,0.0,0.0,0.0,0.0,0.0,1.0,S
12.5,7.5,0.0,0.0,0.0,0.0,0.0,1.0,S
12.6,7.6,0.0,0.0,0.0,0.0,0.0,1.0,S
12.7,7.7,0.0,0.0,0.0,0.0,0.0,1.0,S
12.8,7.8,0.0,0.0,0.0,0.0,0.0,1.0,S
12.9,7.9,0.0,0.0,0.0,0.0,0.0,1.0,S
13.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,S
13.1,8.1,0.0,0.0,0.0,0.0,0.0,1.0,S
13.2,8.2,0.0,0.0,0.0,0.0,0.0,1.0,S
13.3,8.3,0.0,0.0,0.0,0.0,0.0,1.0,S
13.4,8.4,0.0,0.0,0.0,0.0,0.0,1.0,S
13.5,8.5,0.0,0.0,0.0,0.0,0.0,1.0,S
13.6,8.6,0.0,0.0,0.0,0.0,0.0,1.0,S
13.7,8.7,0.0,0.0,0.0,0.0,0.0,1.0,S
13.8,8.8,0.0,0.0,0.0,0.0,0.0,1.0,S
13.9,8.9,0.0,0.0,0.0,0.0,0.0,1.0,S
14.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,S
14.1,9.1,0.0,0.0,0.0,0.0,0.0,1.0,S
14.2,9.2,0.0,0.0,0.0,0.0,0.0,1.0,S
14.3,9.3,0.0,0.0,0.0,0.0,0.0,1.0,S
14.4,9.4,0.0,0.0,0.0,0.0,0.0,1.0,S
14.5,9.5,0.0,0.0,0.0,0.0,0.0,1.0,S
14.6,9.6,0.0,0.0,0.0,0.0,0.0,1.0,S
14.7,9.7,0.0,0.0,0.0,0.0,0.0,1.0,S
14.8,9.8,0.0,0.0,0.0,0.0,0.0,1.0,S
14.9,9.9,0.0,0.0,0.0,0.0,0.0,1.0,S
15.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,S
15.1,10.1,0.0,0.0,0.0,0.0,0.0,1.0,S
15.2,10.2,0.0,0.0,0.0,0.0,0.0,1.0,S
15.3,10.3,0.0,0.0,0.0,0.0,0.0,1.0,S
15.4,10.4,0.0,0.0,0.0,0.0,0.0,1.0,S
15.5,10.5,0.0,0.0,0.0,0.0,0.0,1.0,S
15.6,10.6,0.0,0.0,0.0,0.0,0.0,1.0,S
15.7,10.7,0.0,0.0,0.0,0.0,0.0,1.0,S
15.8,10.8,0.0,0.0,0.0,0.0,0.0,1.0,S
15.9,10.9,0.0,0.0,0.0,0.0,0.0,1.0,S
16.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,S
16.1,11.1,0.0,0.0,0.0,0.0,0.0,1.0,S
16.2,11.2,0.0,0.0,0.0,0.0,0.0,1.0,S
